id;category_id;category_code;category_description
1;21798;vortals;open-source
2;96124;Integration;bypassing SCSI applications
3;3735;Checking Account Fresh;transmitting XML orchestrate
4;99999;Kentucky synthesize;Electronics
5;84884;Soap Chad Regional;architectures red
6;17869;Persevering Program;mesh fresh-thinking Designer
7;24872;front-end Chicken violet;Home Loan Account deposit
8;12226;Investment Account pink Investor;compress
9;30057;plug-and-play;Versatile real-time Rustic
10;57740;payment;Product Communications Berkshire
