id;device_id;timestamp;serial_number;humidity;temperature;co_2;pressure;differential_pressure
1;Savings Account;2020-12-19;parsing;11548;85471;9987;52532;57939
2;Kids;2020-12-19;blue Idaho;60462;48444;95300;93150;56543
3;Soft brand;2020-12-18;circuit white;70943;81921;76015;72879;86091
4;transmitting iterate efficient;2020-12-18;index;54634;92561;30054;65240;55667
5;Accounts Orchestrator Forward;2020-12-18;mission-critical;6573;52535;2726;39409;12197
6;withdrawal Persevering Extension;2020-12-19;ability Bike;52524;956;34939;62113;23119
7;generating experiences copying;2020-12-18;Unbranded Wooden Bacon Principal Incredible Cotton Salad;12092;85999;83122;83530;88986
8;Sausages Chair;2020-12-19;Licensed;30024;56044;54992;36647;30004
9;enterprise sensor scalable;2020-12-19;Courts Avon vertical;25232;36325;98972;53585;99034
10;array green;2020-12-19;card Small Plastic Shirt;94807;77256;71769;79590;91412
