id;outlet_id;outlet_name;outlet_location;outlet_lat;outlet_long
1;synergize;Small Cotton Table;Executive info-mediaries Sleek Concrete Bike;transition;JSON pink one-to-one
2;Adaptive Group;bleeding-edge Multi-tiered RAM;Investment Account;hacking;envisioneer Awesome
3;Money Market Account Communications;quantifying Fresh;Home;Virginia encompassing;AI
4;black Electronics needs-based;New Mexico;Steel;Implementation digital Toys;Gloves
5;synthesizing;1080p Strategist;Reunion systematic Refined;navigate Accounts Multi-channelled;Metal Auto Loan Account Lead
6;open-source;generating Agent systematic;Bahrain models Chips;payment Meadow;Home Loan Account engineer transmit
7;compressing primary;invoice;optical turquoise;framework Self-enabling homogeneous;Integrated pixel Auto Loan Account
8;white transmitting navigating;Re-contextualized aggregate Wooden;Trace Graphical User Interface architect;copying technologies backing up;Profound benchmark
9;overriding;Regional Pizza service-desk;dynamic innovative Industrial;driver programming;red optimize
10;Tasty Wooden Mouse Mountain Rand Loti;Garden SAS magnetic;Saint Lucia repurpose hacking;Cayman Islands Pizza;Fantastic Bahrain
