id;product_id;description;product_code
1;23324;Checking Account;Gambia Assistant
2;74211;cross-platform support;navigate wireless Chilean Peso Unidades de fomento
3;9665;Legacy Dynamic magenta;THX actuating
4;88209;Unbranded Centers;Generic Metal Tuna
5;44325;infomediaries Michigan Incredible;Democratic People's Republic of Korea Internal compressing
6;55080;initiative green;Malagasy Ariary Gloves
7;54278;Ball Australian Dollar;Bike
8;6446;Computer Oklahoma Identity;throughput
9;9548;Data Identity;Dynamic auxiliary
10;85535;COM Personal Loan Account yellow;Cape Verde
