id;order_no;quantity;created_by;created_on;delivered_date;updated_at;created_at
1;20270;66341;Cambridgeshire invoice Directives;2020-12-17;2020-12-17;2020-12-16;2020-12-16
2;6757;27821;Borders West Virginia Handcrafted;2020-12-17;2020-12-16;2020-12-16;2020-12-17
3;83148;98751;Tools panel HDD;2020-12-16;2020-12-17;2020-12-16;2020-12-16
4;89498;70185;bypassing Operations;2020-12-17;2020-12-16;2020-12-17;2020-12-17
5;87540;6774;digital redundant;2020-12-16;2020-12-17;2020-12-16;2020-12-17
6;40893;89206;matrix collaborative;2020-12-17;2020-12-16;2020-12-16;2020-12-16
7;75519;64673;SQL;2020-12-16;2020-12-16;2020-12-17;2020-12-16
8;84553;37199;Granite;2020-12-16;2020-12-17;2020-12-17;2020-12-17
9;91197;56913;connect Berkshire Pennsylvania;2020-12-16;2020-12-17;2020-12-17;2020-12-16
10;17387;54256;SDD Ford;2020-12-16;2020-12-17;2020-12-17;2020-12-16
