id;ticket_no;ticket_type;ticket_status;ticket_due_date;ticket_priority;ticket_created_on;ticket_update_at
1;3279;invoice;Serbian Dinar;2020-12-16;Harbors e-tailers Quetzal;2020-12-16;2020-12-16
2;13677;Buckinghamshire foreground;Soft Stravenue;2020-12-16;Outdoors;2020-12-16;2020-12-16
3;75463;payment;Bedfordshire UIC-Franc;2020-12-16;user-centric;2020-12-16;2020-12-17
4;4300;Steel Wisconsin;Administrator Nicaragua SSL;2020-12-16;Chief architecture Health;2020-12-16;2020-12-16
5;60434;San Marino;Handmade Plastic Mouse Incredible;2020-12-16;deposit reintermediate;2020-12-17;2020-12-16
6;24825;infrastructures;Bedfordshire salmon Digitized;2020-12-16;Neck;2020-12-17;2020-12-16
7;89700;focus group deliverables Liaison;zero administration;2020-12-16;International;2020-12-16;2020-12-17
8;26419;Reduced hack copying;Avon Global yellow;2020-12-16;Mouse Up-sized Wooden;2020-12-16;2020-12-16
9;19686;Industrial integrated;capacitor Architect Cambridgeshire;2020-12-17;deposit implementation Iceland Krona;2020-12-16;2020-12-17
10;99355;Regional throughput;markets;2020-12-17;SQL cohesive;2020-12-16;2020-12-17
